ID,Track,Stage,Index,DarkHorse,isInterval,Composers,Title,Designers,isLoop,RenderVideoURL,IllustrationURL
dEDbNeLTlGTbeyrH,RG,1,67,0,0,細江慎治,怨撃,あかニャン Lv.60,0,https://res.phizone.cn/woaIqlzV20EhGzaBvXVXF2meVd3TvJQ9/%5BHikari%5D%20%E6%80%A8%E6%92%83%20%5BIN%20Lv.15%5D%20%40%202026-03-23_11-48-13.mp4,https://res.phizone.cn/1VNtFBwtHBFECweg3gqcUOZSf0qWR2Dq/PecJam_Illustration_C41S7AD763Txx361h3jYg.png
e3RUKRd1asj4Wc3R,RG,1,68,0,0,かめりあ,epitaxy,UNKNOWN,0,https://res.phizone.cn/PogB9SnaI0gW5sUsEJ4GH2qbOQUpbHpe/%5BRas%5D%20epitaxy%20%5B15%20Lv.15%5D%20%40%202026-03-23_11-42-41.mp4,https://res.phizone.cn/F14EnPGUYGnOSvejNqefp06KsUa3DPQA/PecJam_Illustration_iSkhjSjGD-TqbUv1owm1T.jpg
dEDbNeLTlGTbeyrH,RG,1,67,0,0,細江慎治,怨撃,あかニャン Lv.60,0,https://res.phizone.cn/woaIqlzV20EhGzaBvXVXF2meVd3TvJQ9/%5BHikari%5D%20%E6%80%A8%E6%92%83%20%5BIN%20Lv.15%5D%20%40%202026-03-23_11-48-13.mp4,https://res.phizone.cn/1VNtFBwtHBFECweg3gqcUOZSf0qWR2Dq/PecJam_Illustration_C41S7AD763Txx361h3jYg.png
dEDbNeLTlGTbeyrH,RG,1,67,0,0,細江慎治,怨撃,あかニャン Lv.60,0,https://res.phizone.cn/woaIqlzV20EhGzaBvXVXF2meVd3TvJQ9/%5BHikari%5D%20%E6%80%A8%E6%92%83%20%5BIN%20Lv.15%5D%20%40%202026-03-23_11-48-13.mp4,https://res.phizone.cn/1VNtFBwtHBFECweg3gqcUOZSf0qWR2Dq/PecJam_Illustration_C41S7AD763Txx361h3jYg.png
