ID,Track,Stage,Index,DarkHorse,isInterval,Composers,Title,Designers,isLoop,RenderVideoURL,IllustrationURL
Comp3,,,,,1,,,,0,,
yjtJPFfER5PVy2O8,RG,0,1,1,0,DECO*27,ヒバナ -Reloaded-,"PhiEdit -Reloaded- vs. ""我们是冠军!""",0,https://res.phizone.cn/ZgvQaCYC7hR5Q9o0jhi5ZKBsKNqsnOPE/%5BIlith%5D%20%E3%83%92%E3%83%90%E3%83%8A%20-Reloaded-%20%5BIN%20Lv.15%5D%20%40%202026-03-02_00-33-06.mp4,https://res.phizone.cn/F2vvD3Bxeg2NdIvsxpzaiTbt8tBXuYM5/PecJam_Illustration_g2QIcuUJZFHF4eDC_iPXa.png
IntervalTest1,,,,,1,,,,0,,
pTNf1ntUHXA9uNM3,RG,1,2,0,0,カモメサノエレクトリックオーケストラ include Limonène,Ref:rain(for 7th Heaven),Pra:qern(for 0th Pecjam),0,https://res.phizone.cn/QIFXfJla8TpRyGCTVmiQkp0o5e8QnY5Z/%5BIlot%5D%20Refrain%28for%207th%20Heaven%29%20%5BIN%20Lv.15%5D%20%40%202026-03-16_00-44-34.mp4,https://res.phizone.cn/n696C32i7m7koLGLTll6hp80VYrXBxuZ/PecJam_Illustration_DOjjnZW3u24tGjE7RaOan.jpg
82851Vmm7A0HPW5W,RG,2,3,0,0,南愁Nanchou,伊天珀凌,世界で一番可愛い私,0,https://res.phizone.cn/aB1Zfn0jdzS5wfCeYscCcC6WJOuiSFHo/%5BSia%5D%20%E4%BC%8A%E5%A4%A9%E7%8F%80%E5%87%8C%20%5BIN%20Lv.15%5D%20%40%202026-03-15_18-11-11.mp4,https://res.phizone.cn/8Au7aR2sEycXmvkcCY8Dm1Z9I9qGZS8Y/PecJam_Illustration_wUy6VtN_8axjdx6V7ps6B.png
X0okhfrrNahH47qK,RG,0,4,0,0,AiSS,The Everlasting Rain,PVZMIC Chart TEAM,0,https://res.phizone.cn/HXRNdzQGFzWQasDyl4n6M6JN0DzsX55u/%5BTsumugi%5D%20The%20Everlasting%20Rain%20%5BIN%20Lv.16%5D%20%40%202026-03-15_15-56-53.mp4,https://res.phizone.cn/NBcLz52soVy7jBdpA7gSh3TWW6z2mczn/PecJam_Illustration_7jpR2D34U6_a-QD7lJXVx.png
LRaqbfSLmbTiV4V3,RG,0,5,1,0,MYUKKE.,Anti Safety Zone,并非安全,0,https://res.phizone.cn/SXVhbOTPkpEMpnopoNerqa2B7lbiWsem/%5BHikari%5D%20Anti%20Safety%20Zone%20%5BIN%20Lv.15%5D%20%40%202026-03-15_05-20-54.mp4,https://res.phizone.cn/gaF9aoX84JwI3WBd0pR1F1MDSnz5ga1T/PecJam_Illustration_CkGTe53WF63pdAIbRRklj.png
mDXzZtJwuSEjviNs,RG,1,6,0,0,MintJam vs Masahiro “Godspeed” Aoki,Crush the Dystopia,"WinterProtecter vs Usami ""Gaospeed"" Yuko -for 0thPecJam-",0,https://res.phizone.cn/kEvS6tuhlewl6K5TFgB555l3eY54NZM9/%5BInsight%5D%20Crush%20the%20Dystopia%20%5BIN%20Lv.16%5D%20%40%202026-03-21_22-08-27.mp4,https://res.phizone.cn/HRpZSWZd900thclB4g872Q7oZCBwFL6R/PecJam_Illustration_Q1thy64uF-xMlofqPSE8m.png
PTF71lWCGyulFFXC,RG,1,7,0,0,Sakuzyo,7 Wonders,"we witnessed 7 wonders, and the 0th day falls...",0,https://res.phizone.cn/cvbXr35Swhb8MdzsVXUwiiqfHHE6URrF/%5BShirabe%5D%207%20Wonders%20%5BAT%20Lv.15%5D%20%40%202026-03-16_23-05-20.mp4,https://res.phizone.cn/uEQD5Y7Vo4reQkBzFlZ7UQ8OSNCtMRlI/PecJam_Illustration_k-wHrEdhXOHMW785rxRyc.png
